timestamp,household,solar_kWh,load_kWh,price_per_kWh,transaction_type
2023-06-01 00:00:00,H4,0.0,0.45,0.12,GENERATION/DEMAND
2023-06-01 00:15:00,H5,0.0,0.77,0.121,GENERATION/DEMAND
2023-06-01 00:30:00,H3,0.0,0.51,0.122,GENERATION/DEMAND
2023-06-01 00:45:00,H5,0.0,0.5,0.123,GENERATION/DEMAND
2023-06-01 01:00:00,H5,0.0,0.54,0.124,GENERATION/DEMAND
2023-06-01 01:15:00,H2,0.0,0.8,0.125,GENERATION/DEMAND
2023-06-01 01:30:00,H3,0.0,0.67,0.126,GENERATION/DEMAND
2023-06-01 01:45:00,H3,0.0,0.76,0.127,GENERATION/DEMAND
2023-06-01 02:00:00,H3,0.0,0.53,0.128,GENERATION/DEMAND
2023-06-01 02:15:00,H5,0.0,0.55,0.129,GENERATION/DEMAND
2023-06-01 02:30:00,H4,0.0,0.76,0.13,GENERATION/DEMAND
2023-06-01 02:45:00,H3,0.0,0.96,0.131,GENERATION/DEMAND
2023-06-01 03:00:00,H5,0.0,1.01,0.132,GENERATION/DEMAND
2023-06-01 03:15:00,H2,0.0,0.62,0.133,GENERATION/DEMAND
2023-06-01 03:30:00,H4,0.0,0.87,0.134,GENERATION/DEMAND
2023-06-01 03:45:00,H2,0.0,1.08,0.135,GENERATION/DEMAND
2023-06-01 04:00:00,H4,0.0,0.81,0.136,GENERATION/DEMAND
2023-06-01 04:15:00,H5,0.0,1.06,0.137,GENERATION/DEMAND
2023-06-01 04:30:00,H1,0.0,0.69,0.138,GENERATION/DEMAND
2023-06-01 04:45:00,H4,0.0,1.14,0.139,GENERATION/DEMAND
2023-06-01 05:00:00,H2,0.0,1.05,0.14,GENERATION/DEMAND
2023-06-01 05:15:00,H5,0.0,1.16,0.141,GENERATION/DEMAND
2023-06-01 05:30:00,H4,0.0,1.02,0.142,GENERATION/DEMAND
2023-06-01 05:45:00,H1,0.0,0.84,0.143,GENERATION/DEMAND
2023-06-01 06:00:00,H1,0.0,1.17,0.144,GENERATION/DEMAND
2023-06-01 06:15:00,H3,0.21,0.79,0.145,GENERATION/DEMAND
2023-06-01 06:30:00,H3,0.47,0.82,0.146,GENERATION/DEMAND
2023-06-01 06:45:00,H2,0.86,1.03,0.147,GENERATION/DEMAND
2023-06-01 07:00:00,H4,0.92,1.05,0.148,GENERATION/DEMAND
2023-06-01 07:15:00,H4,1.29,1.14,0.149,P2P_TRADE
2023-06-01 07:30:00,H3,1.76,0.73,0.15,P2P_TRADE
2023-06-01 07:45:00,H4,1.22,1.04,0.151,GENERATION/DEMAND
2023-06-01 08:00:00,H4,1.53,1.0,0.151,P2P_TRADE
2023-06-01 08:15:00,H1,1.83,0.63,0.152,GENERATION/DEMAND
2023-06-01 08:30:00,H3,2.02,0.79,0.153,GENERATION/DEMAND
2023-06-01 08:45:00,H5,2.16,0.72,0.154,GENERATION/DEMAND
2023-06-01 09:00:00,H3,3.02,0.72,0.155,GENERATION/DEMAND
2023-06-01 09:15:00,H5,2.89,1.04,0.156,GENERATION/DEMAND
2023-06-01 09:30:00,H1,2.85,0.85,0.157,GENERATION/DEMAND
2023-06-01 09:45:00,H2,2.45,0.87,0.158,GENERATION/DEMAND
2023-06-01 10:00:00,H4,3.41,0.96,0.159,P2P_TRADE
2023-06-01 10:15:00,H1,3.71,0.67,0.16,P2P_TRADE
2023-06-01 10:30:00,H4,3.53,0.84,0.161,P2P_TRADE
2023-06-01 10:45:00,H2,2.1,0.66,0.162,P2P_TRADE
2023-06-01 11:00:00,H2,3.25,0.81,0.163,GENERATION/DEMAND
2023-06-01 11:15:00,H1,2.19,0.52,0.163,P2P_TRADE
2023-06-01 11:30:00,H2,2.53,0.79,0.164,P2P_TRADE
2023-06-01 11:45:00,H5,2.15,0.5,0.165,GENERATION/DEMAND
2023-06-01 12:00:00,H2,3.03,0.51,0.166,GENERATION/DEMAND
2023-06-01 12:15:00,H4,3.08,0.64,0.167,P2P_TRADE
2023-06-01 12:30:00,H4,2.05,0.5,0.168,GENERATION/DEMAND
2023-06-01 12:45:00,H4,2.38,0.54,0.169,P2P_TRADE
2023-06-01 13:00:00,H4,2.36,0.47,0.17,GENERATION/DEMAND
2023-06-01 13:15:00,H5,2.1,0.53,0.171,GENERATION/DEMAND
2023-06-01 13:30:00,H3,1.64,0.37,0.171,GENERATION/DEMAND
2023-06-01 13:45:00,H1,1.85,0.31,0.172,GENERATION/DEMAND
2023-06-01 14:00:00,H4,2.03,0.35,0.173,P2P_TRADE
2023-06-01 14:15:00,H2,1.16,0.38,0.174,P2P_TRADE
2023-06-01 14:30:00,H4,1.02,0.29,0.175,GENERATION/DEMAND
2023-06-01 14:45:00,H2,1.05,0.32,0.176,GENERATION/DEMAND
2023-06-01 15:00:00,H2,1.17,0.31,0.176,P2P_TRADE
2023-06-01 15:15:00,H4,0.77,0.23,0.177,P2P_TRADE
2023-06-01 15:30:00,H5,0.52,0.32,0.178,GENERATION/DEMAND
2023-06-01 15:45:00,H2,0.22,0.36,0.179,GENERATION/DEMAND
2023-06-01 16:00:00,H2,0.0,0.22,0.18,GENERATION/DEMAND
2023-06-01 16:15:00,H4,0.0,0.28,0.181,GENERATION/DEMAND
2023-06-01 16:30:00,H2,0.0,0.28,0.181,GENERATION/DEMAND
2023-06-01 16:45:00,H2,0.0,0.24,0.182,GENERATION/DEMAND
2023-06-01 17:00:00,H4,0.0,0.27,0.183,GENERATION/DEMAND
2023-06-01 17:15:00,H4,0.0,0.22,0.184,GENERATION/DEMAND
2023-06-01 17:30:00,H1,0.0,0.23,0.184,GENERATION/DEMAND
2023-06-01 17:45:00,H5,0.0,0.16,0.185,GENERATION/DEMAND
2023-06-01 18:00:00,H5,0.0,0.26,0.186,GENERATION/DEMAND
2023-06-01 18:15:00,H2,0.0,0.25,0.187,GENERATION/DEMAND
2023-06-01 18:30:00,H5,0.0,0.17,0.187,GENERATION/DEMAND
2023-06-01 18:45:00,H2,0.0,0.22,0.188,GENERATION/DEMAND
2023-06-01 19:00:00,H1,0.0,0.31,0.189,GENERATION/DEMAND
2023-06-01 19:15:00,H4,0.0,0.24,0.19,GENERATION/DEMAND
2023-06-01 19:30:00,H4,0.0,0.26,0.19,GENERATION/DEMAND
2023-06-01 19:45:00,H4,0.0,0.33,0.191,GENERATION/DEMAND
2023-06-01 20:00:00,H5,0.0,0.31,0.192,GENERATION/DEMAND
2023-06-01 20:15:00,H1,0.0,0.3,0.192,GENERATION/DEMAND
2023-06-01 20:30:00,H5,0.0,0.36,0.193,GENERATION/DEMAND
2023-06-01 20:45:00,H5,0.0,0.39,0.194,GENERATION/DEMAND
2023-06-01 21:00:00,H1,0.0,0.32,0.194,GENERATION/DEMAND
2023-06-01 21:15:00,H1,0.0,0.34,0.195,GENERATION/DEMAND
2023-06-01 21:30:00,H1,0.0,0.34,0.196,GENERATION/DEMAND
2023-06-01 21:45:00,H1,0.0,0.49,0.196,GENERATION/DEMAND
2023-06-01 22:00:00,H4,0.0,0.45,0.197,GENERATION/DEMAND
2023-06-01 22:15:00,H3,0.0,0.32,0.198,GENERATION/DEMAND
2023-06-01 22:30:00,H3,0.0,0.54,0.198,GENERATION/DEMAND
2023-06-01 22:45:00,H1,0.0,0.46,0.199,GENERATION/DEMAND
2023-06-01 23:00:00,H3,0.0,0.36,0.2,GENERATION/DEMAND
2023-06-01 23:15:00,H3,0.0,0.52,0.2,GENERATION/DEMAND
2023-06-01 23:30:00,H1,0.0,0.5,0.201,GENERATION/DEMAND
2023-06-01 23:45:00,H3,0.0,0.68,0.201,GENERATION/DEMAND
2023-06-02 00:00:00,H5,0.0,0.47,0.202,GENERATION/DEMAND
2023-06-02 00:15:00,H2,0.0,0.72,0.202,GENERATION/DEMAND
2023-06-02 00:30:00,H2,0.0,0.64,0.203,GENERATION/DEMAND
2023-06-02 00:45:00,H1,0.0,0.47,0.204,GENERATION/DEMAND
2023-06-02 01:00:00,H4,0.0,0.86,0.204,GENERATION/DEMAND
2023-06-02 01:15:00,H1,0.0,0.69,0.205,GENERATION/DEMAND
2023-06-02 01:30:00,H4,0.0,0.62,0.205,GENERATION/DEMAND
2023-06-02 01:45:00,H2,0.0,0.71,0.206,GENERATION/DEMAND
2023-06-02 02:00:00,H1,0.0,0.91,0.206,GENERATION/DEMAND
2023-06-02 02:15:00,H5,0.0,0.68,0.207,GENERATION/DEMAND
2023-06-02 02:30:00,H3,0.0,0.64,0.207,GENERATION/DEMAND
2023-06-02 02:45:00,H4,0.0,0.62,0.208,GENERATION/DEMAND
2023-06-02 03:00:00,H3,0.0,0.72,0.208,GENERATION/DEMAND
2023-06-02 03:15:00,H3,0.0,0.98,0.209,GENERATION/DEMAND
2023-06-02 03:30:00,H1,0.0,0.83,0.209,GENERATION/DEMAND
2023-06-02 03:45:00,H3,0.0,0.72,0.21,GENERATION/DEMAND
2023-06-02 04:00:00,H5,0.0,0.7,0.21,GENERATION/DEMAND
2023-06-02 04:15:00,H3,0.0,0.79,0.21,GENERATION/DEMAND
2023-06-02 04:30:00,H1,0.0,1.13,0.211,GENERATION/DEMAND
2023-06-02 04:45:00,H5,0.0,0.82,0.211,GENERATION/DEMAND
2023-06-02 05:00:00,H2,0.0,1.18,0.212,GENERATION/DEMAND
2023-06-02 05:15:00,H3,0.0,0.91,0.212,GENERATION/DEMAND
2023-06-02 05:30:00,H1,0.0,0.74,0.212,GENERATION/DEMAND
2023-06-02 05:45:00,H2,0.0,1.14,0.213,GENERATION/DEMAND
2023-06-02 06:00:00,H2,0.0,0.9,0.213,GENERATION/DEMAND
2023-06-02 06:15:00,H4,0.25,1.04,0.214,GENERATION/DEMAND
2023-06-02 06:30:00,H5,0.43,1.19,0.214,GENERATION/DEMAND
2023-06-02 06:45:00,H3,0.58,0.66,0.214,GENERATION/DEMAND
2023-06-02 07:00:00,H1,1.2,0.69,0.215,GENERATION/DEMAND
2023-06-02 07:15:00,H4,1.12,1.02,0.215,GENERATION/DEMAND
2023-06-02 07:30:00,H5,1.52,0.78,0.215,P2P_TRADE
2023-06-02 07:45:00,H4,1.23,0.71,0.216,P2P_TRADE
2023-06-02 08:00:00,H5,1.75,0.63,0.216,GENERATION/DEMAND
2023-06-02 08:15:00,H5,1.4,0.61,0.216,GENERATION/DEMAND
2023-06-02 08:30:00,H3,2.13,0.99,0.216,P2P_TRADE
2023-06-02 08:45:00,H5,2.92,0.65,0.217,GENERATION/DEMAND
2023-06-02 09:00:00,H4,2.26,0.8,0.217,GENERATION/DEMAND
2023-06-02 09:15:00,H5,1.85,0.85,0.217,P2P_TRADE
2023-06-02 09:30:00,H3,1.92,0.75,0.217,GENERATION/DEMAND
2023-06-02 09:45:00,H3,2.59,0.55,0.218,GENERATION/DEMAND
2023-06-02 10:00:00,H4,2.27,0.88,0.218,GENERATION/DEMAND
2023-06-02 10:15:00,H2,2.08,0.51,0.218,GENERATION/DEMAND
2023-06-02 10:30:00,H2,3.42,0.82,0.218,GENERATION/DEMAND
2023-06-02 10:45:00,H5,2.92,0.85,0.218,P2P_TRADE
2023-06-02 11:00:00,H1,2.62,0.64,0.219,GENERATION/DEMAND
2023-06-02 11:15:00,H5,3.71,0.66,0.219,GENERATION/DEMAND
2023-06-02 11:30:00,H4,2.28,0.61,0.219,GENERATION/DEMAND
2023-06-02 11:45:00,H4,3.72,0.56,0.219,P2P_TRADE
2023-06-02 12:00:00,H4,2.53,0.71,0.219,GENERATION/DEMAND
2023-06-02 12:15:00,H4,3.42,0.68,0.219,GENERATION/DEMAND
2023-06-02 12:30:00,H4,2.84,0.48,0.219,P2P_TRADE
2023-06-02 12:45:00,H3,3.06,0.54,0.219,GENERATION/DEMAND
2023-06-02 13:00:00,H2,3.13,0.61,0.22,GENERATION/DEMAND
2023-06-02 13:15:00,H4,1.99,0.59,0.22,GENERATION/DEMAND
2023-06-02 13:30:00,H1,2.71,0.45,0.22,GENERATION/DEMAND
2023-06-02 13:45:00,H1,1.82,0.41,0.22,GENERATION/DEMAND
2023-06-02 14:00:00,H1,1.64,0.35,0.22,P2P_TRADE
2023-06-02 14:15:00,H1,1.42,0.49,0.22,GENERATION/DEMAND
2023-06-02 14:30:00,H3,1.4,0.29,0.22,GENERATION/DEMAND
2023-06-02 14:45:00,H1,0.91,0.36,0.22,GENERATION/DEMAND
2023-06-02 15:00:00,H4,0.96,0.29,0.22,GENERATION/DEMAND
2023-06-02 15:15:00,H5,0.72,0.27,0.22,GENERATION/DEMAND
2023-06-02 15:30:00,H1,0.54,0.28,0.22,P2P_TRADE
2023-06-02 15:45:00,H3,0.28,0.38,0.22,GENERATION/DEMAND
2023-06-02 16:00:00,H3,0.0,0.2,0.22,GENERATION/DEMAND
2023-06-02 16:15:00,H1,0.0,0.28,0.22,GENERATION/DEMAND
2023-06-02 16:30:00,H5,0.0,0.19,0.22,GENERATION/DEMAND
2023-06-02 16:45:00,H1,0.0,0.2,0.22,GENERATION/DEMAND
2023-06-02 17:00:00,H3,0.0,0.23,0.22,GENERATION/DEMAND
2023-06-02 17:15:00,H2,0.0,0.24,0.22,GENERATION/DEMAND
2023-06-02 17:30:00,H4,0.0,0.2,0.22,GENERATION/DEMAND
2023-06-02 17:45:00,H3,0.0,0.2,0.22,GENERATION/DEMAND
2023-06-02 18:00:00,H1,0.0,0.17,0.219,GENERATION/DEMAND
2023-06-02 18:15:00,H4,0.0,0.2,0.219,GENERATION/DEMAND
2023-06-02 18:30:00,H1,0.0,0.3,0.219,GENERATION/DEMAND
2023-06-02 18:45:00,H1,0.0,0.3,0.219,GENERATION/DEMAND
2023-06-02 19:00:00,H2,0.0,0.22,0.219,GENERATION/DEMAND
2023-06-02 19:15:00,H4,0.0,0.26,0.219,GENERATION/DEMAND
2023-06-02 19:30:00,H4,0.0,0.32,0.219,GENERATION/DEMAND
2023-06-02 19:45:00,H2,0.0,0.19,0.218,GENERATION/DEMAND
2023-06-02 20:00:00,H3,0.0,0.33,0.218,GENERATION/DEMAND
2023-06-02 20:15:00,H1,0.0,0.37,0.218,GENERATION/DEMAND
2023-06-02 20:30:00,H5,0.0,0.23,0.218,GENERATION/DEMAND
2023-06-02 20:45:00,H1,0.0,0.25,0.218,GENERATION/DEMAND
2023-06-02 21:00:00,H1,0.0,0.42,0.217,GENERATION/DEMAND
2023-06-02 21:15:00,H3,0.0,0.36,0.217,GENERATION/DEMAND
2023-06-02 21:30:00,H1,0.0,0.26,0.217,GENERATION/DEMAND
2023-06-02 21:45:00,H2,0.0,0.33,0.217,GENERATION/DEMAND
2023-06-02 22:00:00,H2,0.0,0.39,0.216,GENERATION/DEMAND
2023-06-02 22:15:00,H4,0.0,0.47,0.216,GENERATION/DEMAND
2023-06-02 22:30:00,H5,0.0,0.51,0.216,GENERATION/DEMAND
2023-06-02 22:45:00,H1,0.0,0.6,0.216,GENERATION/DEMAND
2023-06-02 23:00:00,H1,0.0,0.42,0.215,GENERATION/DEMAND
2023-06-02 23:15:00,H3,0.0,0.52,0.215,GENERATION/DEMAND
2023-06-02 23:30:00,H2,0.0,0.54,0.215,GENERATION/DEMAND
2023-06-02 23:45:00,H5,0.0,0.52,0.214,GENERATION/DEMAND
2023-06-03 00:00:00,H4,0.0,0.46,0.214,GENERATION/DEMAND
2023-06-03 00:15:00,H2,0.0,0.77,0.214,GENERATION/DEMAND
2023-06-03 00:30:00,H4,0.0,0.75,0.213,GENERATION/DEMAND
2023-06-03 00:45:00,H3,0.0,0.64,0.213,GENERATION/DEMAND
2023-06-03 01:00:00,H3,0.0,0.71,0.213,GENERATION/DEMAND
2023-06-03 01:15:00,H1,0.0,0.57,0.212,GENERATION/DEMAND
2023-06-03 01:30:00,H5,0.0,0.73,0.212,GENERATION/DEMAND
2023-06-03 01:45:00,H4,0.0,0.81,0.211,GENERATION/DEMAND
2023-06-03 02:00:00,H2,0.0,0.75,0.211,GENERATION/DEMAND
2023-06-03 02:15:00,H3,0.0,1.0,0.211,GENERATION/DEMAND
